Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold227850	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Thiotrichaceae; Achromatium	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Thiotrichaceae; Achromatium	17.5463	0.612823	0.0
scaffold168331	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	41.857	0.625078	0.05729
scaffold61057	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	15.1457	0.327249	0.10417
scaffold215338	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	0.60987	0.911006	0.0
scaffold230516	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	1.40623	0.326214	0.0
scaffold42260	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	21.709	0.318882	0.0625
scaffold66462	norB	Bacteria	Bacteria	2.46015	0.999675	0.125
scaffold14857	norB	Bacteria	Bacteria	1.61481	0.997065	0.125
scaffold04766	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	1.90016	0.979638	0.05729
scaffold208945	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	1.54373	0.25389	0.10417
scaffold19074	norB	Bacteria	Bacteria	1.53741	0.65814	0.125
scaffold63557	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	1.2242	0.334569	0.0
scaffold107680	norB	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	2.27998	0.999688	0.0
scaffold74059	norB	Bacteria	Bacteria	0.554427	0.346998	0.125
scaffold10432	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	1.65678	0.704235	0.0
scaffold134422	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	2.23439	0.342258	0.10417
scaffold150384	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	12.4367	0.796072	0.15625
scaffold150129	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Zobellia	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Zobellia	3.16129	0.3724	0.0
scaffold87624	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	2.46689	0.419727	0.0
scaffold10626	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	33.311	0.648593	0.09659
scaffold14512	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	1.21808	0.97354	0.05729
scaffold109202	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	14.4667	0.547307	0.0
scaffold89039	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	16.1553	0.422167	0.05729
scaffold17433	norB	Bacteria	Bacteria	10.8762	0.958788	0.125
scaffold06367	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter; Candidatus Competibacter denitrificans	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter	83.3641	0.877966	0.0
scaffold101123	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	1.97382	0.859217	0.0
scaffold02599	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	241.724	0.716491	0.15625
scaffold172175	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	3.02832	0.973759	0.0
scaffold01702	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	2.2935	0.999937	0.15625
