Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold24526	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	10.6996	0.565102	0.09659
scaffold32669	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	45.3995	0.326824	0.10417
scaffold07199	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	62.5101	0.97759	0.05729
scaffold02081	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	13.1939	0.486361	0.02344
scaffold26724	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	29.7544	0.419757	0.0
scaffold05867	norB	Bacteria	Bacteria	1.86455	0.897024	0.125
scaffold01477	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	26.9925	0.979627	0.05729
scaffold88355	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	155.034	0.61432	0.15625
scaffold124641	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	1.15644	0.39603	0.1625
scaffold08387	norB	Bacteria	Bacteria	2.03458	0.615016	0.125
scaffold119866	norB	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	2.32977	0.916389	0.0
scaffold07242	norB	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Gallionella; Gallionella capsiferriformans	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Gallionella	200.583	0.839966	0.0
scaffold86269	norB	Bacteria	Bacteria	1.24774	0.945693	0.125
scaffold16740	norB	Bacteria	Bacteria	20.2194	0.979908	0.125
scaffold115585	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	1.97559	0.566631	0.1625
scaffold03309	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	155.542	0.98925	0.15625
scaffold126083	norB	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae	0.58296	0.394919	0.03125
scaffold04729	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter; Candidatus Competibacter denitrificans	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter	62.8374	0.871045	0.0
scaffold24558	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	6.41045	0.406473	0.09659
scaffold04075	norB	Bacteria	Bacteria	12.6928	0.985038	0.125
scaffold03083	norB	Bacteria	Bacteria	3.04505	0.998821	0.125
scaffold114286	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	23.462	0.281827	0.05729
scaffold112154	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	1.27653	0.889892	0.15625
scaffold129200	norB	Bacteria	Bacteria	3.64723	0.987558	0.125
scaffold56127	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	0.922608	0.868027	0.0
scaffold01324	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	6.52203	0.999082	0.0
scaffold60777	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	2.14944	0.487899	0.1625
