Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold24526	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	3.02036	0.565102	0.09659
scaffold32669	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	17.8201	0.326824	0.10417
scaffold07199	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	18.3638	0.97759	0.05729
scaffold02081	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	4.71419	0.486361	0.02344
scaffold26724	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	6.89953	0.419757	0.0
scaffold05867	norB	Bacteria	Bacteria	0	0.897024	0.125
scaffold01477	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	4.18022	0.979627	0.05729
scaffold88355	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	9.74953	0.61432	0.15625
scaffold124641	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	0	0.39603	0.1625
scaffold08387	norB	Bacteria	Bacteria	0	0.615016	0.125
scaffold119866	norB	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	2.11163	0.916389	0.0
scaffold07242	norB	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Gallionella; Gallionella capsiferriformans	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Gallionellaceae; Gallionella	18.6112	0.839966	0.0
scaffold86269	norB	Bacteria	Bacteria	0	0.945693	0.125
scaffold16740	norB	Bacteria	Bacteria	0.969056	0.979908	0.125
scaffold115585	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	1.41163	0.566631	0.1625
scaffold03309	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	12.8326	0.98925	0.15625
scaffold126083	norB	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae	0.197474	0.394919	0.03125
scaffold04729	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter; Candidatus Competibacter denitrificans	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter	89.9628	0.871045	0.0
scaffold24558	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	2.38075	0.406473	0.09659
scaffold04075	norB	Bacteria	Bacteria	0.205833	0.985038	0.125
scaffold03083	norB	Bacteria	Bacteria	0.0375847	0.998821	0.125
scaffold114286	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	4.10868	0.281827	0.05729
scaffold112154	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	228.409	0.889892	0.15625
scaffold129200	norB	Bacteria	Bacteria	0	0.987558	0.125
scaffold56127	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	511.37	0.868027	0.0
scaffold01324	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	5.05439	0.999082	0.0
scaffold60777	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	2.50555	0.487899	0.1625
