Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold227850	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Thiotrichaceae; Achromatium	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Thiotrichaceae; Achromatium	116.428	0.612823	0.0
scaffold168331	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	182.876	0.625078	0.05729
scaffold61057	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	47.5307	0.327249	0.10417
scaffold215338	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	0.480529	0.911006	0.0
scaffold230516	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	2.50193	0.326214	0.0
scaffold42260	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	122.656	0.318882	0.0625
scaffold66462	norB	Bacteria	Bacteria	0.273657	0.999675	0.125
scaffold14857	norB	Bacteria	Bacteria	0.83628	0.997065	0.125
scaffold04766	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	4.58794	0.979638	0.05729
scaffold208945	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	8.79818	0.25389	0.10417
scaffold19074	norB	Bacteria	Bacteria	0.198351	0.65814	0.125
scaffold63557	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	0.265653	0.334569	0.0
scaffold107680	norB	Bacteria; Chlorobi; unclassified Chlorobi	Bacteria; Chlorobi; unclassified Chlorobi	7.88659	0.999688	0.0
scaffold74059	norB	Bacteria	Bacteria	0.391413	0.346998	0.125
scaffold10432	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; unclassified Gammaproteobacteria 	0.184072	0.704235	0.0
scaffold134422	norB	Bacteria; Bacteroidetes	Bacteria; Bacteroidetes	6.35829	0.342258	0.10417
scaffold150384	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	1.37954	0.796072	0.15625
scaffold150129	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Zobellia	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Zobellia	0	0.3724	0.0
scaffold87624	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	9.41534	0.419727	0.0
scaffold10626	norB	Bacteria; Proteobacteria; Gammaproteobacteria	Bacteria; Proteobacteria; Gammaproteobacteria	126.027	0.648593	0.09659
scaffold14512	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	3.08297	0.97354	0.05729
scaffold109202	norB	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocapsa	43.7438	0.547307	0.0
scaffold89039	norB	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae	46.7349	0.422167	0.05729
scaffold17433	norB	Bacteria	Bacteria	3.88096	0.958788	0.125
scaffold06367	norB	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter; Candidatus Competibacter denitrificans	Bacteria; Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Competibacteraceae; Candidatus Competibacter	4.78227	0.877966	0.0
scaffold101123	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	7.57579	0.859217	0.0
scaffold02599	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	29.4902	0.716491	0.15625
scaffold172175	norB	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; Muricauda ruestringensis	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda	5.09427	0.973759	0.0
scaffold01702	norB	Bacteria; Proteobacteria	Bacteria; Proteobacteria	4.58036	0.999937	0.15625
